Table,Column name,Data type,Is Nullable,References
run_stats,isbaseline,boolean,YES,
run_stats,run_no,integer,YES,
run_stats,system_prompt,text,YES,
run_stats,user_prompt,text,YES,
run_stats,response,text,YES,
run_stats,execution_time,integer,YES,
run_stats,matches_baseline,boolean,YES,
run_stats,difference,text,YES,
run_stats,run_date,timestamp without time zone,YES,
run_stats,unique_id,serial,NO,
run_stats,usecase,text,YES,
run_stats,llm,text,YES,
run_stats,llm_parameters,text,YES,
run_stats,functionality,text,YES,
run_stats,mode,text,YES,
run_stats,ideal_response,text,YES,
run_stats,matches_ideal,text,YES,
run_stats,ideal_response_difference,text,YES,
run_stats,similarity_metric,text,YES,
run_stats,created_at,timestamp with time zone,YES,
run_stats,use_for_training,boolean,YES,
run_stats,use_for_testing,boolean,YES,
run_stats,comments,text,YES,
run_stats,fingerprint,text,YES,
run_stats,status,text,YES,
run_stats,prompt_config_id,integer,YES,prompt_config.prompt_id
test_results,test_run_no,serial,NO,
test_results,test_run_date,date,YES,
test_results,total_tests,integer,YES,
test_results,tests_passed,integer,YES,
test_results,tests_failed,integer,YES,
test_results,tests_pass_rate,text,YES,
test_results,model,text,YES,
test_results,average_execution_time,double precision,YES,
test_results,test_type,text,YES,
test_results,eval_name,text,YES,
test_results,accuracy,real,YES,
test_results,status,text,YES,
test_results_detail,test_results_detail_no,serial,NO,
test_results_detail,test_run_no,integer,YES,test_results.test_run_no
test_results_detail,original_response,text,YES,
test_results_detail,actual_response,text,YES,
test_results_detail,ideal_response,text,YES,
test_results_detail,difference,text,YES,
test_results_detail,original_run_no,integer,YES,
test_results_detail,original_prompt,text,YES,
test_results_detail,execution_time,double precision,YES,
test_results_detail,fingerprint,text,YES,
test_results_detail,matched_tokens,integer,YES,
test_results_detail,mismatch_percentage,real,YES,
test_results_detail,mismatched_tokens,integer,YES,
test_results_detail,page,text,YES,
test_results_detail,status,text,YES,
llm_config,llm_config_id,serial,NO,
llm_config,model,text,YES,
llm_config,family,text,YES,
llm_config,mode,text,YES,
llm_config,formatter,text,YES,
llm_config,run_mode,text,YES,
llm_config,run_count,text,YES,
llm_config,sleep,text,YES,
llm_config,accuracy_check,text,YES,
llm_config,negative_prompt,text,YES,
llm_config,use_for_training,boolean,YES,
llm_config,error_detection,boolean,YES,
llm_config,phi_detection,boolean,YES,
llm_config,mapper,text,YES,
llm_config,isActive,boolean,YES,
llm_config,parameters,text,YES,
prompt_config,prompt_id,serial,NO,
prompt_config,llm_id,integer,NO,llm_config.llm_config_id
prompt_config,usecase,text,YES,
prompt_config,system_prompt,text,YES,
prompt_config,isactive,boolean,YES,
prompt_config,comments,text,YES,
prompt_config,page,text,YES,
