Table,Column name,Data type,Is Nullable,References
llm_config,llm_config_id,serial,no,
llm_config,model,text,yes,
llm_config,family,text,yes,
llm_config,mode,text,yes,
llm_config,formatter,text,yes,
llm_config,run_mode,text,yes,
llm_config,run_count,text,yes,
llm_config,sleep,text,yes,
llm_config,accuracy_check,text,yes,
llm_config,negative_prompt,text,yes,
llm_config,use_for_training,boolean,yes,
llm_config,error_detection,boolean,yes,
llm_config,phi_detection,boolean,yes,
llm_config,isActive,text,yes,
llm_config,mapper,text,yes,
prompt_config,prompt_id,serial,no,
prompt_config,llm_id,integer,no,llm_config.llm_config_id
prompt_config,usecase,text,yes,
prompt_config,system_prompt,text,yes,
prompt_config,isActive,boolean,yes,
prompt_config,comments,text,yes,
prompt_config,page,text,yes,
